"","type","phi_mu","phi_er","gamma_mu","gamma_re","p_mu","p_er"
"22","EST",1.89402314579272,0.436630512723929,-0.610505317862119,0.335988134074975,-0.885509678665844,0.106991288185742
"23","EST",1.39858051521086,0.356261319140882,-0.284280923848727,0.400752125238094,-0.84384617409671,0.24565223897217
"24","EST",1.45067115713953,0.458657421944574,-0.423973905352163,0.390051127924011,-0.867027873689899,0.145275828497379
"25","EST",1.46120770056228,0.4363454207015,-0.82585669189619,0.38838728402371,-0.811656455799193,0.127726464969204
"26","EST",1.48392611302445,0.377875618038289,-0.486567507323898,0.48733007144013,-0.749386424006794,0.142299484633179
"27","EST",1.82083281658888,0.377842614773103,-0.725730855330843,0.443765576365134,-0.95403922524478,0.313059397051273
"28","EST",1.99158073049099,0.378069174521393,-0.894805127972978,0.337770659604963,-0.777767238057812,0.212681351629882
"29","EST",1.68201719283486,0.407980798750111,-0.915952004926279,0.370048403049202,-0.740709028434554,0.224417752849146
"30","EST",1.56400194562409,0.554101934844885,-1.13438756482647,0.377616115989101,-0.716797003900717,0.293059901091935
"31","EST",2.11069997545705,0.420386087978267,-0.752350115848058,0.352840043933161,-0.778327433761967,0.325420001539366
"32","EST",1.62605428688627,0.440086367061555,-0.64875945478108,0.428070404243241,-0.788232946127414,0.0994795171757093
"33","EST",1.66332449804175,0.458293613293299,-0.762709923738412,0.319399503313305,-0.81035297019217,0.252495784328012
"34","EST",1.63089345508692,0.365879300445004,-1.11547454843495,0.375911703502292,-0.758456740120624,0.295620048549078
"35","EST",1.54682886356737,0.479967152668644,-0.642110270939535,0.34289746633124,-0.848485769231586,0.158882896883269
"36","EST",1.96520532151872,0.483313426716615,-1.10149157425504,0.406857422358803,-0.828613911275221,0.138335730417871
"37","EST",2.26093386508794,0.508875441122745,-0.996157153449678,0.43922615593125,-0.847730576900357,0.224708042872801
"38","EST",1.96706058810068,0.480968903105199,-0.906789215902259,0.31675970071819,-0.888080615290799,0.122226898175475
"39","EST",1.52185210201237,0.451872791694138,-0.646682013355754,0.445241621414281,-0.943895054685386,0.192479355634182
"40","EST",1.74999115498566,0.396974147051705,-1.13101266707735,0.339986002692645,-0.872257073895733,0.177399743781382
"41","EST",1.96182918103345,0.491448855467054,-0.517268617172378,0.372977893682746,-0.855626591664909,0.181611521821471
"42","EST",1.56757414159443,0.41128667697996,-0.847498429299089,0.460962383671302,-0.9545736430233,0.162035592936793
"43","EST",1.57695431486962,0.390066630254656,-0.501927289521967,0.411235101755463,-0.819979889182314,0.197255257330206
"44","EST",1.59278999410539,0.414838660740166,-0.86958983843224,0.395939157439385,-0.88735245981111,0.19969506016423
"45","EST",1.56670041571092,0.518126763896139,-1.11698201935252,0.435528050585597,-0.854430321545733,0.298066946187712
"46","EST",1.87798100460069,0.397054026588157,-0.741814104490423,0.385898173947226,-0.826847238053416,0.126719439454126
"47","EST",1.72325309034396,0.389612753501988,-0.595194617598545,0.301643764976033,-0.940630720084034,0.179868613524251
"48","EST",1.29430344923578,0.383518024318119,-0.702985915547831,0.315552332750751,-0.84212608375675,0.264865042406187
"49","EST",1.40356588161338,0.393852879411561,-0.849586464743533,0.403840474512428,-0.855503200444765,0.122316541162611
"50","EST",0.75236897846011,0.343190222718256,-0.989037122772354,0.446547206530951,-0.88093112745167,0.365040379627074
"51","EST",1.28417702697427,0.387725273585376,0.0312859880250542,0.517206078232241,-0.967517859253717,0.164149590901212
